record_id,text,platform,source_url,user,date,rating,model_score,model_decision,seed_label,annotator_a_label,annotator_a_notes,annotator_b_label,annotator_b_notes,adjudicated_label,adjudication_notes,label_status,priority_score,uncertainty_score,duplicate_text_count,risk_signals,promo_keyword_count,caps_ratio,exclamation_count,word_count
p0000025,"Good. Battery is giving me like 3 to 4 days, and also easier to use",jumia,https://www.jumia.co.ke/villaon-v110-1.77-1000mah-dual-sim-black-326370555.html,David,04-03-2026,5 out of 5,0.0,authentic,0,,,,,,,pending,0.0,0.0,1,,0.0,0.0,0,15
p0000177,Worth the price.. It can charge my phone very first more than twice,jumia,https://www.jumia.co.ke/vic-20000mah-power-banks-portable-charger-ultra-light-battery-pack-black-247696732.html,Hammaton,05-03-2026,4 out of 5,0.0,authentic,0,,,,,,,pending,0.0,0.0,1,,0.0,0.0,0,13
p0000243,"Redmi note 15 pro... Excellent...I love this phone ..camera so clear,speaker is amazing",jumia,https://www.jumia.co.ke/xiaomi-redmi-note-15-pro-6.77-8gb-ram-256gb-dual-sim-6500mah-black-25-months-warranty-free-buds-6-play-326638116.html,Anonymous,,5 out of 5,0.010159,authentic,0,,,,,,,pending,0.044381,0.0,1,promo_keywords,2.0,0.0,0,15
p0000314,Great Product. Arrived exactly as advertised and has good sound,jumia,https://www.jumia.co.ke/oraimo-spacebuds-lite-true-wireless-earbuds-sound360-anti-lost-black-325602719.html,Laureen Obunde,02-03-2026,5 out of 5,0.0,authentic,0,,,,,,,pending,0.0,0.0,1,,0.0,0.0,0,10
p0000151,Best price for [NEW ARRIVAL!!] TECNO SPARK 40 Pro 128GB +16(8+8GB) 6.78&quot; 120Hz Phone Dynamic Port 50MP Stereo Speaker 5200mAh 45W Type-C Dual SIM 4G Under Display Fingerprint SPARK 40 Pro Plus IP64 Smart Phones Color-Nebula Black Storage-128GB + 8GB 1001511971,kilimall,https://www.kilimall.co.ke/listing/1001511971-TECNO-SPARK-40-Pro-Smart-Phone,Anonymous,,,0.0,authentic,0,,,,,,,pending,0.042857,0.0,1,multi_exclaim,1.0,0.1277,2,47
p0000222,"【Limited Offer】 EUROKEN HS-26LC24T2 24&quot; INCH FULL SCREEN DISPLAY TELEVISION AC/DC DIGITAL LED TV WITH INBUILT DECODER FOR LOCAL CHANNELS WIDE COLOR ENHANCER, USB HDMI PORTS",kilimall,https://www.kilimall.co.ke/listing/1001653297-EUROKEN-HS26LC24T2-24-LED-TV,Anonymous,,,0.0,authentic,0,,,,,,,pending,0.042857,0.0,1,caps_heavy,1.0,0.8276,0,29
p0000007,"🔥Top-Rated💎AILYONS Self-Service High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Water Hand Pump Dispenser",kilimall,https://www.kilimall.co.ke/listing/1001482700-TopRatedAILYONS-SelfService-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Water-Hand-Pump-Dispenser,Anonymous,,,0.0,authentic,0,,,,,,,pending,0.0,0.0,1,,0.0,0.1364,0,22
p0000045,64GB ROM + 5(2+3Extended)GB RAM,kilimall,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,Anonymous,,,0.0,manual_review,0,,,,,,,pending,0.042857,0.0,1,caps_heavy,0.0,0.4286,0,7
p0000138,as ordered. Perfect condition and exactly what I ordered,jumia,https://www.jumia.co.ke/xiaomi-redmi-15-4g-6gb-ram-128gb-7000mah-purple-25-months-warranty.-325669445.html,John,04-03-2026,5 out of 5,0.0,manual_review,0,,,,,,,pending,0.0,0.0,1,,1.0,0.0,0,9
p0000328,phone quality. The phone was exactly as i ordered. High quality and the original phone. Delivery was done on time. Good work!,jumia,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-black-free-gifts-325377699.html,Evans,26-02-2026,5 out of 5,0.0,authentic,0,,,,,,,pending,0.042857,0.0,1,promo_keywords,2.0,0.0,1,22
